# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2018-09-11 13:26:00 EDT       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03145483 Raccoon Creek near Granville OH
# -----------------------------------------------------------------------------------
#
# Data provided for site 03145483
#            TS   parameter     Description
#        110246       00065     Gage height, feet
#        110247       00060     Discharge, cubic feet per second
#        110248       00045     Precipitation, total, inches
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	tz_cd	110246_00065	110246_00065_cd	110247_00060	110247_00060_cd	110248_00045	110248_00045_cd
USGS	03145483	2017-08-02 09:30	EDT			15.7	A		
USGS	03145483	2017-08-02 09:45	EDT			15.7	A		
USGS	03145483	2017-08-02 10:00	EDT			15.7	A		
USGS	03145483	2017-08-02 10:15	EDT			15.7	A		
USGS	03145483	2017-08-02 10:30	EDT			15.7	A		
USGS	03145483	2017-08-02 10:45	EDT			15.7	A		
USGS	03145483	2017-08-02 11:00	EDT			15.7	A		
USGS	03145483	2017-08-02 11:15	EDT			15.7	A		
USGS	03145483	2017-08-02 11:30	EDT			15.7	A		
USGS	03145483	2017-08-02 11:45	EDT			15.7	A		
USGS	03145483	2017-08-02 12:00	EDT			15.7	A		
USGS	03145483	2017-08-02 12:15	EDT			15.7	A		
USGS	03145483	2017-08-02 12:30	EDT			15.7	A		
USGS	03145483	2017-08-02 12:45	EDT			15.7	A		
USGS	03145483	2017-08-02 13:00	EDT			15.7	A		
USGS	03145483	2017-08-02 13:15	EDT			15.7	A		
USGS	03145483	2017-08-02 13:30	EDT			15.7	A		
USGS	03145483	2017-08-02 13:45	EDT			15.7	A		
USGS	03145483	2017-08-02 14:00	EDT			15.7	A		
USGS	03145483	2017-08-02 14:15	EDT			15.7	A		
USGS	03145483	2017-08-02 14:30	EDT			15.7	A		
USGS	03145483	2017-08-02 14:45	EDT			15.7	A		
USGS	03145483	2017-08-02 15:00	EDT			15.7	A		
USGS	03145483	2017-08-02 15:15	EDT			15.7	A		
USGS	03145483	2017-08-02 15:30	EDT			15.7	A		
USGS	03145483	2017-08-02 15:45	EDT			15.7	A		
USGS	03145483	2017-08-02 16:00	EDT			15.7	A		
USGS	03145483	2017-08-02 16:15	EDT			15.2	A		
USGS	03145483	2017-08-02 16:30	EDT			15.2	A		
USGS	03145483	2017-08-02 16:45	EDT			15.2	A		
USGS	03145483	2017-08-02 17:00	EDT			15.2	A		
USGS	03145483	2017-08-02 17:15	EDT			15.2	A		
USGS	03145483	2017-08-02 17:30	EDT			15.2	A		
USGS	03145483	2017-08-02 17:45	EDT			15.2	A		
USGS	03145483	2017-08-02 18:00	EDT			15.2	A		
USGS	03145483	2017-08-02 18:15	EDT			15.2	A		
USGS	03145483	2017-08-02 18:30	EDT			15.2	A		
USGS	03145483	2017-08-02 18:45	EDT			15.2	A		
USGS	03145483	2017-08-02 19:00	EDT			15.2	A		
USGS	03145483	2017-08-02 19:15	EDT			15.2	A		
USGS	03145483	2017-08-02 19:30	EDT			15.2	A		
USGS	03145483	2017-08-02 19:45	EDT			15.2	A		
USGS	03145483	2017-08-02 20:00	EDT			15.2	A		
USGS	03145483	2017-08-02 20:15	EDT			15.2	A		
USGS	03145483	2017-08-02 20:30	EDT			15.2	A		
USGS	03145483	2017-08-02 20:45	EDT			15.2	A		
USGS	03145483	2017-08-02 21:00	EDT			15.2	A		
USGS	03145483	2017-08-02 21:15	EDT			15.2	A		
USGS	03145483	2017-08-02 21:30	EDT			15.2	A		
USGS	03145483	2017-08-02 21:45	EDT			15.2	A		
USGS	03145483	2017-08-02 22:00	EDT			15.2	A		
USGS	03145483	2017-08-02 22:15	EDT			15.2	A		
USGS	03145483	2017-08-02 22:30	EDT			15.2	A		
USGS	03145483	2017-08-02 22:45	EDT			15.2	A		
USGS	03145483	2017-08-02 23:00	EDT			15.2	A		
USGS	03145483	2017-08-02 23:15	EDT			15.2	A		
USGS	03145483	2017-08-02 23:30	EDT			15.2	A		
USGS	03145483	2017-08-02 23:45	EDT			15.2	A		
USGS	03145483	2017-08-03 00:00	EDT			15.2	A		
USGS	03145483	2017-08-03 00:15	EDT			15.2	A		
USGS	03145483	2017-08-03 00:30	EDT			15.2	A		
USGS	03145483	2017-08-03 00:45	EDT			15.2	A		
USGS	03145483	2017-08-03 01:00	EDT			15.2	A		
USGS	03145483	2017-08-03 01:15	EDT			15.2	A		
USGS	03145483	2017-08-03 01:30	EDT			15.2	A		
USGS	03145483	2017-08-03 01:45	EDT			15.2	A		
USGS	03145483	2017-08-03 02:00	EDT			15.2	A		
USGS	03145483	2017-08-03 02:15	EDT			15.2	A		
USGS	03145483	2017-08-03 02:30	EDT			15.7	A		
USGS	03145483	2017-08-03 02:45	EDT			15.7	A		
USGS	03145483	2017-08-03 03:00	EDT			15.7	A		
USGS	03145483	2017-08-03 03:15	EDT			15.7	A		
USGS	03145483	2017-08-03 03:30	EDT			15.7	A		
USGS	03145483	2017-08-03 03:45	EDT			15.7	A		
USGS	03145483	2017-08-03 04:00	EDT			15.7	A		
USGS	03145483	2017-08-03 04:15	EDT			15.7	A		
USGS	03145483	2017-08-03 04:30	EDT			15.7	A		
USGS	03145483	2017-08-03 04:45	EDT			16.4	A		
USGS	03145483	2017-08-03 05:00	EDT			16.4	A		
USGS	03145483	2017-08-03 05:15	EDT			17.0	A		
USGS	03145483	2017-08-03 05:30	EDT			17.7	A		
USGS	03145483	2017-08-03 05:45	EDT			18.3	A		
USGS	03145483	2017-08-03 06:00	EDT			19.0	A		
USGS	03145483	2017-08-03 06:15	EDT			19.0	A		
USGS	03145483	2017-08-03 06:30	EDT			19.7	A		
USGS	03145483	2017-08-03 06:45	EDT			19.7	A		
USGS	03145483	2017-08-03 07:00	EDT			20.4	A		
USGS	03145483	2017-08-03 07:15	EDT			20.4	A		
USGS	03145483	2017-08-03 07:30	EDT			20.4	A		
USGS	03145483	2017-08-03 07:45	EDT			20.4	A		
USGS	03145483	2017-08-03 08:00	EDT			20.4	A		
USGS	03145483	2017-08-03 08:15	EDT			20.4	A		
USGS	03145483	2017-08-03 08:30	EDT			21.1	A		
USGS	03145483	2017-08-03 08:45	EDT			21.8	A		
USGS	03145483	2017-08-03 09:00	EDT			21.8	A		
USGS	03145483	2017-08-03 09:15	EDT			22.5	A		
USGS	03145483	2017-08-03 09:30	EDT			22.5	A		
USGS	03145483	2017-08-03 09:45	EDT			23.2	A		
USGS	03145483	2017-08-03 10:00	EDT			23.2	A		
USGS	03145483	2017-08-03 10:15	EDT			23.2	A		
USGS	03145483	2017-08-03 10:30	EDT			23.2	A		
USGS	03145483	2017-08-03 10:45	EDT			23.2	A		
USGS	03145483	2017-08-03 11:00	EDT			23.2	A		
USGS	03145483	2017-08-03 11:15	EDT			23.9	A		
USGS	03145483	2017-08-03 11:30	EDT			23.2	A		
USGS	03145483	2017-08-03 11:45	EDT			23.9	A		
USGS	03145483	2017-08-03 12:00	EDT			23.2	A		
USGS	03145483	2017-08-03 12:15	EDT			23.2	A		
USGS	03145483	2017-08-03 12:30	EDT			23.2	A		
USGS	03145483	2017-08-03 12:45	EDT			23.2	A		
USGS	03145483	2017-08-03 13:00	EDT			23.2	A		
USGS	03145483	2017-08-03 13:15	EDT			23.2	A		
USGS	03145483	2017-08-03 13:30	EDT			23.2	A		
USGS	03145483	2017-08-03 13:45	EDT			23.2	A		
USGS	03145483	2017-08-03 14:00	EDT			22.5	A		
USGS	03145483	2017-08-03 14:15	EDT			22.5	A		
USGS	03145483	2017-08-03 14:30	EDT			22.5	A		
USGS	03145483	2017-08-03 14:45	EDT			22.5	A		
USGS	03145483	2017-08-03 15:00	EDT			22.5	A		
USGS	03145483	2017-08-03 15:15	EDT			22.5	A		
USGS	03145483	2017-08-03 15:30	EDT			22.5	A		
USGS	03145483	2017-08-03 15:45	EDT			22.5	A		
USGS	03145483	2017-08-03 16:00	EDT			22.5	A		
USGS	03145483	2017-08-03 16:15	EDT			22.5	A		
USGS	03145483	2017-08-03 16:30	EDT			22.5	A		
USGS	03145483	2017-08-03 16:45	EDT			22.5	A		
USGS	03145483	2017-08-03 17:00	EDT			21.8	A		
USGS	03145483	2017-08-03 17:15	EDT			21.8	A		
USGS	03145483	2017-08-03 17:30	EDT			21.8	A		
USGS	03145483	2017-08-03 17:45	EDT			21.8	A		
USGS	03145483	2017-08-03 18:00	EDT			21.8	A		
USGS	03145483	2017-08-03 18:15	EDT			21.8	A		
USGS	03145483	2017-08-03 18:30	EDT			21.8	A		
USGS	03145483	2017-08-03 18:45	EDT			21.8	A		
USGS	03145483	2017-08-03 19:00	EDT			21.1	A		
USGS	03145483	2017-08-03 19:15	EDT			21.1	A		
USGS	03145483	2017-08-03 19:30	EDT			21.1	A		
USGS	03145483	2017-08-03 19:45	EDT			21.1	A		
USGS	03145483	2017-08-03 20:00	EDT			21.1	A		
USGS	03145483	2017-08-03 20:15	EDT			21.1	A		
USGS	03145483	2017-08-03 20:30	EDT			21.1	A		
USGS	03145483	2017-08-03 20:45	EDT			20.4	A		
USGS	03145483	2017-08-03 21:00	EDT			20.4	A		
USGS	03145483	2017-08-03 21:15	EDT			20.4	A		
USGS	03145483	2017-08-03 21:30	EDT			20.4	A		
USGS	03145483	2017-08-03 21:45	EDT			20.4	A		
USGS	03145483	2017-08-03 22:00	EDT			20.4	A		
USGS	03145483	2017-08-03 22:15	EDT			20.4	A		
USGS	03145483	2017-08-03 22:30	EDT			20.4	A		
USGS	03145483	2017-08-03 22:45	EDT			20.4	A		
USGS	03145483	2017-08-03 23:00	EDT			20.4	A		
USGS	03145483	2017-08-03 23:15	EDT			20.4	A		
USGS	03145483	2017-08-03 23:30	EDT			20.4	A		
USGS	03145483	2017-08-03 23:45	EDT			20.4	A		
USGS	03145483	2017-08-04 00:00	EDT			20.4	A		
USGS	03145483	2017-08-04 00:15	EDT			20.4	A		
USGS	03145483	2017-08-04 00:30	EDT			20.4	A		
USGS	03145483	2017-08-04 00:45	EDT			20.4	A		
USGS	03145483	2017-08-04 01:00	EDT			20.4	A		
USGS	03145483	2017-08-04 01:15	EDT			20.4	A		
USGS	03145483	2017-08-04 01:30	EDT			20.4	A		
USGS	03145483	2017-08-04 01:45	EDT			20.4	A		
USGS	03145483	2017-08-04 02:00	EDT			20.4	A		
USGS	03145483	2017-08-04 02:15	EDT			20.4	A		
USGS	03145483	2017-08-04 02:30	EDT			20.4	A		
USGS	03145483	2017-08-04 02:45	EDT			20.4	A		
USGS	03145483	2017-08-04 03:00	EDT			20.4	A		
USGS	03145483	2017-08-04 03:15	EDT			20.4	A		
USGS	03145483	2017-08-04 03:30	EDT			19.7	A		
USGS	03145483	2017-08-04 03:45	EDT			19.7	A		
USGS	03145483	2017-08-04 04:00	EDT			19.7	A		
USGS	03145483	2017-08-04 04:15	EDT			19.7	A		
USGS	03145483	2017-08-04 04:30	EDT			19.7	A		
USGS	03145483	2017-08-04 04:45	EDT			19.7	A		
USGS	03145483	2017-08-04 05:00	EDT			19.7	A		
USGS	03145483	2017-08-04 05:15	EDT			19.7	A		
USGS	03145483	2017-08-04 05:30	EDT			19.7	A		
USGS	03145483	2017-08-04 05:45	EDT			19.7	A		
USGS	03145483	2017-08-04 06:00	EDT			19.7	A		
USGS	03145483	2017-08-04 06:15	EDT			19.7	A		
USGS	03145483	2017-08-04 06:30	EDT			19.7	A		
USGS	03145483	2017-08-04 06:45	EDT			19.7	A		
USGS	03145483	2017-08-04 07:00	EDT			19.7	A		
USGS	03145483	2017-08-04 07:15	EDT			19.0	A		
USGS	03145483	2017-08-04 07:30	EDT			19.0	A		
USGS	03145483	2017-08-04 07:45	EDT			19.0	A		
USGS	03145483	2017-08-04 08:00	EDT			19.0	A		
USGS	03145483	2017-08-04 08:15	EDT			19.0	A		
USGS	03145483	2017-08-04 08:30	EDT			19.0	A		
USGS	03145483	2017-08-04 08:45	EDT			19.0	A		
USGS	03145483	2017-08-04 09:00	EDT			19.0	A		
USGS	03145483	2017-08-04 09:15	EDT			19.0	A		
USGS	03145483	2017-08-04 09:30	EDT			19.0	A		
USGS	03145483	2017-08-04 09:45	EDT			19.0	A		
USGS	03145483	2017-08-04 10:00	EDT			19.0	A		
USGS	03145483	2017-08-04 10:15	EDT			19.0	A		
USGS	03145483	2017-08-04 10:30	EDT			19.0	A		
USGS	03145483	2017-08-04 10:45	EDT			19.0	A		
USGS	03145483	2017-08-04 11:00	EDT			19.0	A		
USGS	03145483	2017-08-04 11:15	EDT			19.0	A		
USGS	03145483	2017-08-04 11:30	EDT			19.0	A		
USGS	03145483	2017-08-04 11:45	EDT			18.3	A		
USGS	03145483	2017-08-04 12:00	EDT			18.3	A		
USGS	03145483	2017-08-04 12:15	EDT			18.3	A		
USGS	03145483	2017-08-04 12:30	EDT			18.3	A		
USGS	03145483	2017-08-04 12:45	EDT			18.3	A		
USGS	03145483	2017-08-04 13:00	EDT			18.3	A		
USGS	03145483	2017-08-04 13:15	EDT			18.3	A		
USGS	03145483	2017-08-04 13:30	EDT			18.3	A		
USGS	03145483	2017-08-04 13:45	EDT			18.3	A		
USGS	03145483	2017-08-04 14:00	EDT			18.3	A		
USGS	03145483	2017-08-04 14:15	EDT			18.3	A		
USGS	03145483	2017-08-04 14:30	EDT			18.3	A		
USGS	03145483	2017-08-04 14:45	EDT			17.7	A		
USGS	03145483	2017-08-04 15:00	EDT			17.7	A		
USGS	03145483	2017-08-04 15:15	EDT			17.7	A		
USGS	03145483	2017-08-04 15:30	EDT			17.7	A		
USGS	03145483	2017-08-04 15:45	EDT			17.7	A		
USGS	03145483	2017-08-04 16:00	EDT			17.7	A		
USGS	03145483	2017-08-04 16:15	EDT			18.3	A		
USGS	03145483	2017-08-04 16:30	EDT			17.7	A		
USGS	03145483	2017-08-04 16:45	EDT			17.7	A		
USGS	03145483	2017-08-04 17:00	EDT			17.7	A		
USGS	03145483	2017-08-04 17:15	EDT			17.7	A		
USGS	03145483	2017-08-04 17:30	EDT			17.7	A		
USGS	03145483	2017-08-04 17:45	EDT			17.7	A		
USGS	03145483	2017-08-04 18:00	EDT			17.7	A		
USGS	03145483	2017-08-04 18:15	EDT			17.7	A		
USGS	03145483	2017-08-04 18:30	EDT			17.7	A		
USGS	03145483	2017-08-04 18:45	EDT			17.7	A		
USGS	03145483	2017-08-04 19:00	EDT			17.7	A		
USGS	03145483	2017-08-04 19:15	EDT			17.7	A		
USGS	03145483	2017-08-04 19:30	EDT			17.7	A		
USGS	03145483	2017-08-04 19:45	EDT			17.7	A		
USGS	03145483	2017-08-04 20:00	EDT			17.7	A		
USGS	03145483	2017-08-04 20:15	EDT			17.7	A		
USGS	03145483	2017-08-04 20:30	EDT			17.7	A		
USGS	03145483	2017-08-04 20:45	EDT			17.7	A		
USGS	03145483	2017-08-04 21:00	EDT			17.7	A		
USGS	03145483	2017-08-04 21:15	EDT			17.7	A		
USGS	03145483	2017-08-04 21:30	EDT			17.7	A		
USGS	03145483	2017-08-04 21:45	EDT			17.7	A		
USGS	03145483	2017-08-04 22:00	EDT			17.0	A		
USGS	03145483	2017-08-04 22:15	EDT			17.7	A		
USGS	03145483	2017-08-04 22:30	EDT			17.0	A		
USGS	03145483	2017-08-04 22:45	EDT			17.7	A		
USGS	03145483	2017-08-04 23:00	EDT			17.0	A		
USGS	03145483	2017-08-04 23:15	EDT			17.0	A		
USGS	03145483	2017-08-04 23:30	EDT			17.0	A		
USGS	03145483	2017-08-04 23:45	EDT			17.0	A		
USGS	03145483	2017-08-05 00:00	EDT			17.0	A		
USGS	03145483	2017-08-05 00:15	EDT			17.0	A		
USGS	03145483	2017-08-05 00:30	EDT			17.0	A		
USGS	03145483	2017-08-05 00:45	EDT			17.0	A		
USGS	03145483	2017-08-05 01:00	EDT			17.0	A		
USGS	03145483	2017-08-05 01:15	EDT			17.0	A		
USGS	03145483	2017-08-05 01:30	EDT			17.0	A		
USGS	03145483	2017-08-05 01:45	EDT			17.0	A		
USGS	03145483	2017-08-05 02:00	EDT			17.0	A		
USGS	03145483	2017-08-05 02:15	EDT			17.0	A		
USGS	03145483	2017-08-05 02:30	EDT			17.0	A		
USGS	03145483	2017-08-05 02:45	EDT			17.0	A		
USGS	03145483	2017-08-05 03:00	EDT			17.0	A		
USGS	03145483	2017-08-05 03:15	EDT			17.0	A		
USGS	03145483	2017-08-05 03:30	EDT			17.0	A		
USGS	03145483	2017-08-05 03:45	EDT			17.0	A		
USGS	03145483	2017-08-05 04:00	EDT			17.0	A		
USGS	03145483	2017-08-05 04:15	EDT			17.0	A		
USGS	03145483	2017-08-05 04:30	EDT			17.0	A		
USGS	03145483	2017-08-05 04:45	EDT			17.0	A		
USGS	03145483	2017-08-05 05:00	EDT			17.0	A		
USGS	03145483	2017-08-05 05:15	EDT			17.0	A		
USGS	03145483	2017-08-05 05:30	EDT			17.0	A		
USGS	03145483	2017-08-05 05:45	EDT			17.0	A		
USGS	03145483	2017-08-05 06:00	EDT			17.0	A		
USGS	03145483	2017-08-05 06:15	EDT			17.0	A		
USGS	03145483	2017-08-05 06:30	EDT			17.0	A		
USGS	03145483	2017-08-05 06:45	EDT			17.0	A		
USGS	03145483	2017-08-05 07:00	EDT			17.0	A		
USGS	03145483	2017-08-05 07:15	EDT			17.0	A		
USGS	03145483	2017-08-05 07:30	EDT			17.0	A		
USGS	03145483	2017-08-05 07:45	EDT			17.0	A		
USGS	03145483	2017-08-05 08:00	EDT			17.0	A		
USGS	03145483	2017-08-05 08:15	EDT			17.0	A		
USGS	03145483	2017-08-05 08:30	EDT			17.0	A		
USGS	03145483	2017-08-05 08:45	EDT			17.0	A		
USGS	03145483	2017-08-05 09:00	EDT			17.0	A		
USGS	03145483	2017-08-05 09:15	EDT			17.0	A		
USGS	03145483	2017-08-05 09:30	EDT			17.0	A		
USGS	03145483	2017-08-05 09:45	EDT			17.0	A		
USGS	03145483	2017-08-05 10:00	EDT			17.0	A		
USGS	03145483	2017-08-05 10:15	EDT			17.0	A		
USGS	03145483	2017-08-05 10:30	EDT			17.0	A		
